2022-06-19 23:56:22.111 INFO  [26220] [GameMaster::init@43] Initializing game subsystems...
2022-06-19 23:56:22.682 INFO  [26220] [GameMaster::init@56] Game subsystems initialized successfully.
2022-06-19 23:56:22.682 INFO  [26220] [GameMaster::init@57] Initializing window...
2022-06-19 23:56:22.701 INFO  [26220] [GameMaster::init@66] Window initialized successfully.
2022-06-19 23:56:22.701 INFO  [26220] [GameMaster::init@67] Initializing renderer...
2022-06-19 23:56:22.814 INFO  [26220] [GameMaster::init@78] Renderer initialized successfully.
2022-06-19 23:56:22.814 INFO  [26220] [GameMaster::init@79] Initializing renderer...
2022-06-19 23:56:22.814 INFO  [26220] [GameMaster::init@81] Loading map texture...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 ERROR [26220] [PlayerBoard::canPlace@93] [ERROR] Can't place the ship on coordinates (2;9) with rotation 5.
 Reason: SHIP LANDS OUTSIDE BOARD
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@133] Trying to place ship of type Destroyer on field (2,9) with rotation 5
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@145] Going recursive...
2022-06-19 23:56:22.825 DEBUG [26220] [PlayerBoard::autoPlace@141] Returning board...
2022-06-19 23:56:28.271 INFO  [26220] [PlayerBoard::shootField@53] field ( 3, 4) empty, missed.
2022-06-19 23:56:28.271 INFO  [26220] [PlayerBoard::shootField@53] field ( 3, 4) empty, missed.
2022-06-19 23:56:28.499 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 5) empty, missed.
2022-06-19 23:56:28.584 INFO  [26220] [PlayerBoard::shootField@53] field ( 9, 1) empty, missed.
2022-06-19 23:56:28.584 INFO  [26220] [PlayerBoard::shootField@53] field ( 9, 1) empty, missed.
2022-06-19 23:56:28.736 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 3) empty, missed.
2022-06-19 23:56:28.818 INFO  [26220] [PlayerBoard::shootField@53] field ( 6, 7) empty, missed.
2022-06-19 23:56:28.818 INFO  [26220] [PlayerBoard::shootField@53] field ( 6, 7) empty, missed.
2022-06-19 23:56:29.031 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 1) empty, missed.
2022-06-19 23:56:29.127 INFO  [26220] [PlayerBoard::shootField@53] field ( 8, 8) empty, missed.
2022-06-19 23:56:29.127 INFO  [26220] [PlayerBoard::shootField@53] field ( 8, 8) empty, missed.
2022-06-19 23:56:29.303 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 0) empty, missed.
2022-06-19 23:56:29.369 INFO  [26220] [PlayerBoard::shootField@53] field ( 5, 2) empty, missed.
2022-06-19 23:56:29.369 INFO  [26220] [PlayerBoard::shootField@53] field ( 5, 2) empty, missed.
2022-06-19 23:56:29.649 INFO  [26220] [PlayerBoard::shootField@53] field ( 1, 1) empty, missed.
2022-06-19 23:56:29.891 INFO  [26220] [PlayerBoard::shootField@57] field ( 6, 7) unavailable
2022-06-19 23:56:29.891 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 2) empty, missed.
2022-06-19 23:56:29.891 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 2) empty, missed.
2022-06-19 23:56:30.103 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 2) empty, missed.
2022-06-19 23:56:30.220 INFO  [26220] [PlayerBoard::shootField@53] field ( 9, 0) empty, missed.
2022-06-19 23:56:30.220 INFO  [26220] [PlayerBoard::shootField@53] field ( 9, 0) empty, missed.
2022-06-19 23:56:30.382 INFO  [26220] [PlayerBoard::shootField@53] field ( 1, 2) empty, missed.
2022-06-19 23:56:30.463 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 7) empty, missed.
2022-06-19 23:56:30.463 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 7) empty, missed.
2022-06-19 23:56:30.607 INFO  [26220] [PlayerBoard::shootField@53] field ( 1, 3) empty, missed.
2022-06-19 23:56:30.703 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 1) empty, missed.
2022-06-19 23:56:30.703 INFO  [26220] [PlayerBoard::shootField@53] field ( 4, 1) empty, missed.
2022-06-19 23:56:30.848 INFO  [26220] [PlayerBoard::shootField@53] field ( 0, 4) empty, missed.
2022-06-19 23:56:30.933 INFO  [26220] [PlayerBoard::shootField@53] field ( 8, 3) empty, missed.
2022-06-19 23:56:30.933 INFO  [26220] [PlayerBoard::shootField@53] field ( 8, 3) empty, missed.
